x_mm,y_mm,r_mm,ekin_MeV
-4.52318,-3.37092,0.403771,5.48241
2.45273,6.77505,0.404505,5.45539
6.77093,1.92906,0.405024,5.46375
0.883229,-2.87544,0.405486,5.45478
-4.02808,5.31371,0.406051,5.44109
5.68337,5.47421,0.408981,5.40768
-1.59341,-6.00315,0.411132,5.46353
-8.14774,0.787483,0.411169,5.46107
-0.526697,5.54558,0.412786,5.44764
15.9069,5.11961,0.413043,5.42687
-1.7828,-1.18258,0.413333,5.44408
-2.3194,6.19535,0.414262,5.42508
0.791681,-5.61757,0.417793,5.44473
-1.08645,-8.96997,0.418327,5.41156
-1.48715,10.2303,0.421998,5.48186
-1.16289,-3.24398,0.422061,5.45198
1.0324,-1.25899,0.425098,5.46776
4.54298,-6.98138,0.425238,5.47924
9.06023,2.27058,0.428046,5.42748
4.76005,10.476,0.428074,5.4507
-3.46528,-8.11673,0.43069,5.43746
5.91754,-7.98537,0.432685,5.42205
11.0023,1.8346,0.433928,5.49255
-1.42608,1.4172,0.4354,5.44965
1.41638,4.91793,0.436959,5.45859
-7.24415,-4.25663,0.437694,5.44168
7.06603,-5.02127,0.438693,5.46679
2.65224,0.177787,0.438779,5.44646
5.12662,6.56906,0.439757,5.44105
-3.2095,-3.81979,0.440209,5.46176
-1.30296,-0.1739,0.441137,5.43702
10.1162,0.844018,0.443694,5.40966
-2.54821,-8.68107,0.444196,5.42159
-1.84815,7.07515,0.444723,5.42461
-8.29223,10.3043,0.445659,5.46479
6.36478,1.1896,0.445761,5.4386
-5.49102,-8.04749,0.446961,5.44369
-1.5473,4.79319,0.447743,5.4098
-4.73596,-3.05264,0.449069,5.4702
-6.16226,-4.03291,0.450255,5.41039
7.27837,-0.661461,0.451017,5.45667
-3.29263,-1.85783,0.451392,5.46741
0.891396,-8.08888,0.451867,5.47271
-5.50133,1.81876,0.459156,5.44199
-6.95837,2.56428,0.460196,5.45161
-3.77249,-6.72527,0.461162,5.39198
-7.22109,-4.10823,0.461614,5.44829
-8.48521,-1.29609,0.462718,5.4877
-4.39411,7.01976,0.463721,5.43737
-1.3516,1.87814,0.463911,5.49561
-2.58574,2.5372,0.464047,5.45858
-5.74985,9.2711,0.466295,5.48881
7.30198,-2.11579,0.467207,5.42612
10.6994,-24.4391,0.467678,5.45581
1.79528,5.49199,0.46919,5.45284
1.00308,6.57617,0.469354,5.46735
-2.78022,2.3891,0.472251,5.48806
-4.36043,0.213685,0.475321,5.44731
0.350566,-4.66059,0.475753,5.4327
-7.66805,-3.02843,0.475841,5.46369
-2.02638,-6.94609,0.476187,5.46755
3.34954,6.06966,0.477483,5.43219
3.38216,-1.38911,0.477541,5.44184
-8.65659,-5.88933,0.477765,5.43155
-2.44083,-9.28319,0.478807,5.44454
3.17278,3.6614,0.479259,5.49118
-8.99924,-9.39768,0.480168,5.42373
-3.12091,0.0660561,0.480913,5.45061
-4.53029,4.2115,0.481107,5.47439
2.83559,0.225105,0.481994,5.4644
-6.58769,4.16046,0.482954,5.48448
-5.36902,6.45198,0.48387,5.46117
-7.30974,1.20548,0.484241,5.40583
-9.45716,-5.41255,0.484581,5.46983
11.0406,4.23276,0.48478,5.5023
-1.3684,2.64741,0.486566,5.43655
-5.03313,1.94225,0.486746,5.46303
0.675131,4.17158,0.487377,5.47159
8.61504,-3.30082,0.487558,5.43301
-6.36188,-2.37258,0.489353,5.43944
6.31966,7.5161,0.489431,5.44695
-8.38433,0.982625,0.491276,5.43123
9.13982,-2.58338,0.491374,5.46544
6.40166,-4.56538,0.491593,5.49797
3.54686,6.20445,0.492491,5.45328
1.15619,-8.57794,0.492912,5.44867
4.55582,-4.78954,0.493251,5.45655
-0.767808,-3.63227,0.495197,5.42469
-5.81458,-6.22857,0.497794,5.46951
-1.44721,2.38104,0.500032,5.45417
-3.15172,-6.1393,0.501278,5.4495
7.98599,-6.46466,0.502556,5.4139
10.09,-7.22809,0.504845,5.48461
-3.47512,6.1051,0.505151,5.44674
-5.20671,-3.83857,0.505663,5.46152
-11.279,-1.18511,0.505686,5.48681
1.7028,-1.84415,0.50725,5.46145
-6.34137,-12.7459,0.508776,5.49313
1.19208,-2.51953,0.50878,5.43042
3.04734,4.64092,0.509652,5.44514
3.34901,-7.97332,0.509915,5.49626
1.69063,3.97182,0.510233,5.50323
-6.44462,1.70827,0.510611,5.45705
14.0573,-18.2318,0.512125,5.47865
5.47038,-5.02116,0.512956,5.45588
6.44561,4.35595,0.513902,5.43152
4.92417,-6.7215,0.514126,5.46866
-3.33985,-5.57922,0.514193,5.48461
-6.94018,7.76131,0.514432,5.44538
-9.77127,-0.28388,0.514532,5.40003
0.410775,0.860338,0.515253,5.42854
4.55331,-2.93177,0.515513,5.43215
-5.51993,9.28884,0.517586,5.43944
-4.54299,0.442162,0.517655,5.46693
1.45705,8.7163,0.518183,5.44704
1.22372,-0.438759,0.518647,5.45658
10.5487,0.490828,0.520553,5.45141
-1.67235,7.00669,0.522579,5.44297
33.3929,-12.4295,0.523094,5.49321
-2.28912,-3.2695,0.523252,5.46435
-5.775,-7.22492,0.525303,5.42684
-7.37474,3.97712,0.527792,5.44441
-4.16835,-6.07084,0.527971,5.45287
-2.77093,-7.15458,0.530002,5.46052
1.06443,-7.15989,0.530671,5.46224
1.18818,6.44943,0.533417,5.48187
-12.3973,10.1543,0.533444,5.4556
6.29077,5.57,0.533994,5.46495
-3.03195,1.71546,0.534194,5.44532
-4.15794,-4.30037,0.535778,5.46726
-12.3245,-2.54747,0.538186,5.43004
-4.82227,-5.45958,0.538606,5.44503
-8.96605,-3.73861,0.539857,5.43898
-2.95917,6.95681,0.542115,5.43059
6.79937,-3.8929,0.542308,5.46452
-1.82164,3.61636,0.543019,5.47144
-4.88228,-1.72631,0.547433,5.46023
-9.14626,-1.74026,0.548485,5.44974
-7.10462,-8.67992,0.549885,5.4439
-1.25638,1.62342,0.553071,5.47856
-1.31155,-2.99414,0.55342,5.44102
9.80513,-7.08222,0.555937,5.48132
-1.16506,-4.90398,0.556034,5.49451
10.0768,-4.99792,0.556603,5.45875
0.916669,7.76539,0.558491,5.43755
-6.52601,-4.08244,0.559764,5.44869
-2.84517,6.42181,0.560259,5.42633
-7.77619,8.3634,0.560489,5.49158
1.06148,-1.61387,0.563681,5.47008
9.13368,-3.21859,0.566197,5.42667
-8.39587,-6.02629,0.567405,5.46753
4.78766,6.39847,0.567417,5.45623
-0.85478,0.305679,0.569167,5.42918
11.6618,3.276,0.569277,5.46267
2.2299,5.61928,0.572374,5.47734
-2.22893,-0.650083,0.572385,5.44235
-2.10874,7.91196,0.575994,5.47024
0.497722,0.352616,0.577889,5.43625
-4.63914,11.3531,0.580017,5.46566
-3.89235,-8.84873,0.582614,5.4737
-5.83562,2.71325,0.583499,5.47546
1.88931,-7.5076,0.583543,5.44765
1.8574,0.391787,0.585981,5.45073
0.0814934,4.72243,0.586842,5.40225
-8.60538,-2.12007,0.586934,5.41737
-2.12118,-0.246814,0.593509,5.44675
-4.34743,-2.27338,0.593605,5.45544
-3.80741,-8.12492,0.593761,5.37815
2.85284,-7.0757,0.596708,5.46694
4.36148,0.669749,0.596891,5.45191
-0.294003,0.209588,0.597379,5.48085
10.5328,2.2252,0.598744,5.42006
-0.0641641,-4.07573,0.599755,5.46727
-1.36127,-9.6311,0.599899,5.41515
7.13421,6.35455,0.601088,5.42118
4.62633,-6.51846,0.6011,5.45013
1.02664,-4.54589,0.601761,5.4496
6.01693,-4.53877,0.601916,5.4488
3.19869,-5.61011,0.601919,5.4276
4.32961,5.95698,0.60422,5.42799
-1.40713,4.3319,0.605292,5.43694
1.19409,4.24618,0.605857,5.41279
4.69753,-4.26071,0.607578,5.44672
-10.0561,-5.46117,0.608915,5.42629
0.433877,5.89894,0.609756,5.40419
5.43873,-7.37682,0.609972,5.45224
7.87647,-10.6464,0.610822,5.46033
-7.61159,2.08647,0.61109,5.44856
2.94027,-0.234452,0.611529,5.47661
6.70444,-9.84541,0.611685,5.46584
-2.86557,4.27066,0.612794,5.43492
0.703952,9.43635,0.61357,5.45827
-0.0388719,2.49476,0.613686,5.40003
7.54814,-4.98885,0.614615,5.48458
2.59475,11.2614,0.615292,5.44174
-0.337152,-2.90248,0.616281,5.4446
